ETID,Lat,Long
29,39.1123333333333,-123.9495
29,39.1123333333333,-123.7495
31,39.4456666666667,-124.032166666667
31,39.4456666666667,-123.832166666667
33,39.779,-124.077333333333
33,39.779,-123.877333333333
35,40.1123333333333,-124.3985
35,40.1123333333333,-124.1985
37,40.4456666666667,-124.6905
37,40.4456666666667,-124.4905
39,40.779,-124.513833333333
39,40.779,-124.313833333333
41,41.1123333333333,-124.421
41,41.1123333333333,-124.221
43,41.4456666666667,-124.372166666667
43,41.4456666666667,-124.172166666667
45,41.779,-124.527
45,41.779,-124.327
47,42.1123333333333,-124.579166666667
47,42.1123333333333,-124.379166666667
49,42.4456666666667,-124.723666666667
49,42.4456666666667,-124.523666666667
51,42.779,-124.823166666667
51,42.779,-124.623166666667
53,43.1123333333333,-124.7
53,43.1123333333333,-124.5
55,43.4456666666667,-124.532833333333
55,43.4456666666667,-124.332833333333
57,43.779,-124.428166666667
57,43.779,-124.228166666667
59,44.1123333333333,-124.3955
59,44.1123333333333,-124.1955
61,44.4456666666667,-124.372166666667
61,44.4456666666667,-124.172166666667
63,44.779,-124.3175
63,44.779,-124.1175
65,45.1123333333333,-124.245333333333
65,45.1123333333333,-124.045333333333
67,45.4456666666667,-124.228
67,45.4456666666667,-124.028
69,45.779,-124.225833333333
69,45.779,-124.025833333333
71,46.1123333333333,-124.295333333333
71,46.1123333333333,-124.095333333333
73,46.4456666666667,-124.448333333333
73,46.4456666666667,-124.248333333333
75,46.779,-124.4925
75,46.779,-124.2925
